attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
age_group,40-49,R4_F5,1289,0.252133436772692,0.22265321955003878,0.5138461538461538,0.12448132780082988,0.8755186721991701,0.5818815331010453,0.545751633986928,0.14667952671092996,0.23256059922295946
age_group,50+,R4_F5,517,0.22823984526112184,0.2572533849129594,0.576271186440678,0.16290726817042606,0.8370927318295739,0.5112781954887218,0.5418326693227091,0.14356129706941737,0.25037509420492204
age_group,<30,R5_F1,1961,0.22386537480877103,0.20091789903110657,0.5353075170842825,0.10446780551905388,0.8955321944809461,0.5964467005076142,0.5642256902761104,0.13283272680595223,0.23281515484214588
age_group,30-39,R5_F1,2177,0.19935691318327975,0.16031235645383554,0.49078341013824883,0.07802639127940333,0.9219736087205966,0.6103151862464183,0.5440613026819924,0.12296379712616563,0.2036080753353667
age_group,40-49,R5_F1,1333,0.2280570142535634,0.18454613653413354,0.5164473684210527,0.08649173955296405,0.9135082604470359,0.6382113821138211,0.5709090909090909,0.13176984689904908,0.23033388014646913
age_group,50+,R5_F1,528,0.24053030303030304,0.23863636363636365,0.5118110236220472,0.15211970074812967,0.8478802992518704,0.5158730158730159,0.5138339920948618,0.145369649500387,0.2637508544199708
age_group,<30,R5_F2,1910,0.22774869109947643,0.2162303664921466,0.5471264367816092,0.11864406779661017,0.8813559322033898,0.576271186440678,0.5613207547169811,0.13444147191227646,0.23413162661216882
age_group,30-39,R5_F2,2289,0.2145041502839668,0.16950633464394932,0.4480651731160896,0.09343715239154617,0.9065628476084538,0.5670103092783505,0.5005688282138795,0.134877432789088,0.20213559858349092
age_group,40-49,R5_F2,1258,0.23370429252782193,0.1987281399046105,0.5306122448979592,0.0975103734439834,0.9024896265560166,0.624,0.5735294117647058,0.13629462142393087,0.2262748750699464
age_group,50+,R5_F2,541,0.23475046210720887,0.2513863216266174,0.5984251968503937,0.14492753623188406,0.855072463768116,0.5588235294117647,0.5779467680608366,0.13783651560754773,0.25143548072222427
age_group,<30,R5_F3,1900,0.24789473684210525,0.21263157894736842,0.5138004246284501,0.11336599020293912,0.8866340097970609,0.599009900990099,0.5531428571428572,0.14700998272245175,0.22992564819202774
age_group,30-39,R5_F3,2228,0.18895870736086176,0.17504488330341114,0.47980997624703087,0.1040398450470393,0.8959601549529607,0.517948717948718,0.498150431565968,0.12597233988225895,0.20843398662069168
age_group,40-49,R5_F3,1331,0.22689706987227648,0.20736288504883546,0.5562913907284768,0.10495626822157435,0.8950437317784257,0.6086956521739131,0.5813148788927336,0.13183917660965042,0.22733970236300208
